Irradiance,AmbientTemp,rload,cload,Inductor,Capacitor,k_sc_star
500.0,40.0,0.005,0.002,0.001,3e-05,15.030303030303031
900.0,25.0,0.002,0.002,0.0007,3e-05,9.575757575757576
400.0,25.0,0.001,0.002,0.001,4e-05,14.424242424242424
500.0,30.0,0.001,0.002,0.0007,3e-05,14.121212121212121
800.0,25.0,0.001,0.001,0.001,4e-05,8.969696969696969
400.0,20.0,0.005,0.005,0.001,3e-05,32.0
700.0,40.0,0.001,0.002,0.001,3e-05,32.0
900.0,40.0,0.002,0.005,0.001,4e-05,21.6969696969697
1000.0,25.0,0.001,0.002,0.001,4e-05,10.181818181818182
700.0,25.0,0.002,0.002,0.001,3e-05,31.393939393939394
500.0,40.0,0.002,0.005,0.001,4e-05,15.030303030303031
400.0,25.0,0.005,0.005,0.001,3e-05,32.0
700.0,30.0,0.005,0.001,0.001,4e-05,29.575757575757578
900.0,20.0,0.002,0.001,0.001,3e-05,9.272727272727273
700.0,30.0,0.001,0.005,0.001,3e-05,18.363636363636363
800.0,30.0,0.002,0.001,0.001,4e-05,8.969696969696969
500.0,40.0,0.001,0.005,0.001,3e-05,15.636363636363637
700.0,35.0,0.002,0.005,0.0007,4e-05,11.393939393939394
800.0,25.0,0.002,0.005,0.0007,3e-05,9.575757575757576
800.0,20.0,0.001,0.002,0.0007,3e-05,11.696969696969697
600.0,20.0,0.005,0.002,0.001,3e-05,25.333333333333336
1000.0,25.0,0.001,0.005,0.0007,4e-05,9.878787878787879
400.0,15.0,0.002,0.002,0.001,4e-05,32.0
700.0,35.0,0.002,0.002,0.001,4e-05,31.6969696969697
600.0,20.0,0.005,0.002,0.0007,4e-05,32.0
1000.0,40.0,0.001,0.005,0.001,3e-05,24.727272727272727
900.0,35.0,0.001,0.002,0.0007,3e-05,9.575757575757576
400.0,35.0,0.002,0.001,0.001,4e-05,32.0
600.0,25.0,0.005,0.002,0.0007,3e-05,32.0
600.0,35.0,0.005,0.005,0.0007,3e-05,32.0
400.0,20.0,0.001,0.002,0.0007,3e-05,13.212121212121213
800.0,25.0,0.001,0.005,0.0007,4e-05,9.575757575757576
800.0,35.0,0.002,0.002,0.0007,4e-05,11.393939393939394
400.0,15.0,0.005,0.002,0.0007,3e-05,19.272727272727273
